trial,n_total_customers,uf_target,pf,cluster_min,cluster_max,n_clusters,n_25kva,n_50kva,n_75kva,n_oversize_clusters,installed_kva_total,sum_cluster_peak_kw
67,27,0.8,0.9,1,12,6,0,3,3,0,375.0,266.3148226446079
68,27,0.8,0.9,1,12,4,0,1,2,1,200.0,234.79744923370447
69,27,0.8,0.9,1,12,5,1,2,0,2,125.0,231.08224974421913
70,27,0.8,0.9,1,12,4,0,0,3,1,225.0,231.78048663533644
71,27,0.8,0.9,1,12,5,1,2,1,1,200.0,240.74907636182937
72,27,0.8,0.9,1,12,6,1,2,2,1,275.0,254.81216695973404
73,27,0.8,0.9,1,12,5,1,1,1,2,150.0,241.032405321273
74,27,0.8,0.9,1,12,3,0,1,0,2,50.0,224.07591140691775
75,27,0.8,0.9,1,12,3,0,0,1,2,75.0,212.27553569578265
76,27,0.8,0.9,1,12,5,0,1,4,0,350.0,243.47996496364055
77,27,0.8,0.9,1,12,4,0,3,0,1,150.0,222.84766223846873
78,27,0.8,0.9,1,12,4,1,1,0,2,75.0,221.61600836281838
79,27,0.8,0.9,1,12,7,3,2,1,1,250.0,257.47988364349067
80,27,0.8,0.9,1,12,4,0,1,2,1,200.0,232.46736461027223
81,27,0.8,0.9,1,12,6,3,1,1,1,200.0,256.75291439358966
82,27,0.8,0.9,1,12,5,2,1,1,1,175.0,226.31489500948695
83,27,0.8,0.9,1,12,6,3,1,1,1,200.0,239.660589196527
84,27,0.8,0.9,1,12,4,0,2,1,1,175.0,229.02879784996423
85,27,0.8,0.9,1,12,5,2,0,1,2,125.0,243.0648293099768
86,27,0.8,0.9,1,12,5,0,3,0,2,150.0,247.14738302747497
87,27,0.8,0.9,1,12,7,3,2,1,1,250.0,261.269582791583
88,27,0.8,0.9,1,12,4,0,1,2,1,200.0,240.65825680587312
89,27,0.8,0.9,1,12,6,0,4,1,1,275.0,261.60575204525264
90,27,0.8,0.9,1,12,4,0,1,2,1,200.0,223.19208597664982
91,27,0.8,0.9,1,12,4,1,0,1,2,100.0,230.3339189502505
92,27,0.8,0.9,1,12,6,1,2,2,1,275.0,258.64509790394334
93,27,0.8,0.9,1,12,3,0,1,1,1,125.0,219.68207931291676
94,27,0.8,0.9,1,12,4,0,1,2,1,200.0,244.64271322715243
95,27,0.8,0.9,1,12,3,0,0,1,2,75.0,216.00886462365045
96,27,0.8,0.9,1,12,4,1,0,1,2,100.0,230.53461289376645
97,27,0.8,0.9,1,12,6,0,3,2,1,300.0,274.1651128465618
98,27,0.8,0.9,1,12,4,1,1,1,1,150.0,227.5792043813117
99,27,0.8,0.9,1,12,3,0,1,0,2,50.0,211.3095065859558
100,27,0.8,0.9,1,12,3,0,0,1,2,75.0,235.57260036938445
101,27,0.8,0.9,1,12,5,1,1,2,1,225.0,249.64403848494615
102,27,0.8,0.9,1,12,4,1,1,1,1,150.0,214.34265143005535
103,27,0.8,0.9,1,12,5,0,3,0,2,150.0,246.9109387352818
104,27,0.8,0.9,1,12,7,2,1,4,0,400.0,267.80366735249845
105,27,0.8,0.9,1,12,4,0,2,1,1,175.0,224.508131061353
106,27,0.8,0.9,1,12,5,1,2,1,1,200.0,234.94599110770798
107,27,0.8,0.9,1,12,5,1,1,2,1,225.0,232.51325209652313
108,27,0.8,0.9,1,12,5,1,1,1,2,150.0,239.43030336841738
109,27,0.8,0.9,1,12,6,3,0,2,1,225.0,243.056197162189
110,27,0.8,0.9,1,12,4,0,2,0,2,100.0,220.69404708738307
111,27,0.8,0.9,1,12,3,0,0,1,2,75.0,212.97047865646624
112,27,0.8,0.9,1,12,4,0,1,2,1,200.0,230.6847225175481
113,27,0.8,0.9,1,12,6,1,2,2,1,275.0,269.0729246511546
114,27,0.8,0.9,1,12,4,0,2,1,1,175.0,226.91209768679417
115,27,0.8,0.9,1,12,6,2,2,0,2,150.0,244.51023730409347
116,27,0.8,0.9,1,12,5,1,1,2,1,225.0,244.83384985512726
117,27,0.8,0.9,1,12,4,1,1,0,2,75.0,224.15122973624253
118,27,0.8,0.9,1,12,4,0,1,2,1,200.0,233.66291898047496
119,27,0.8,0.9,1,12,4,1,0,1,2,100.0,234.93066051226523
120,27,0.8,0.9,1,12,5,1,2,0,2,125.0,240.80580407463555
121,27,0.8,0.9,1,12,6,2,1,1,2,175.0,250.06252213599208
122,27,0.8,0.9,1,12,4,1,1,0,2,75.0,232.80868053846677
123,27,0.8,0.9,1,12,5,1,1,2,1,225.0,241.48204174879254
124,27,0.8,0.9,1,12,4,0,1,2,1,200.0,242.5299443450856
125,27,0.8,0.9,1,12,3,0,1,1,1,125.0,206.29340029724978
126,27,0.8,0.9,1,12,3,0,0,2,1,150.0,221.1535321965572
127,27,0.8,0.9,1,12,5,1,2,1,1,200.0,235.69547347977124
128,27,0.8,0.9,1,12,4,0,2,1,1,175.0,227.09858506893212
129,27,0.8,0.9,1,12,4,0,2,0,2,100.0,224.5016180996223
130,27,0.8,0.9,1,12,5,2,0,0,3,50.0,250.94620308544887
131,27,0.8,0.9,1,12,6,1,3,1,1,250.0,253.12914612048843
132,27,0.8,0.9,1,12,4,0,2,1,1,175.0,225.2828871796146
133,27,0.8,0.9,1,12,4,0,1,1,2,125.0,241.5819222767012
134,27,0.8,0.9,1,12,8,1,5,2,0,425.0,286.1827984701995
135,27,0.8,0.9,1,12,3,0,1,0,2,50.0,217.24473657468445
136,27,0.8,0.9,1,12,4,0,1,1,2,125.0,235.76685704981094
137,27,0.8,0.9,1,12,5,1,3,0,1,175.0,245.30952080856787
138,27,0.8,0.9,1,12,3,0,0,1,2,75.0,223.0803538089219
139,27,0.8,0.9,1,12,5,0,4,0,1,200.0,256.6222792339916
140,27,0.8,0.9,1,12,7,1,3,3,0,400.0,271.28360624291565
141,27,0.8,0.9,1,12,3,0,0,1,2,75.0,215.9007089212585
142,27,0.8,0.9,1,12,7,2,3,1,1,275.0,272.497958477886
143,27,0.8,0.9,1,12,5,1,2,1,1,200.0,236.8504186020748
144,27,0.8,0.9,1,12,6,1,4,0,1,225.0,250.68414026770319
145,27,0.8,0.9,1,12,8,3,2,3,0,400.0,273.1772947373989
146,27,0.8,0.9,1,12,3,0,0,1,2,75.0,214.59247597830256
147,27,0.8,0.9,1,12,5,1,1,2,1,225.0,254.27814045268718
148,27,0.8,0.9,1,12,4,0,1,2,1,200.0,230.59389789001207
149,27,0.8,0.9,1,12,5,1,0,3,1,250.0,248.66508576023494
